book_id,author_id,book_genre,reader_id,num_pages,book_rating,publisher_id,publish_year,book_price,text_lang
2364,104,1,6763,326,5,25,2003,157,3
422,413,7,10691,381,5,2,2003,183,1
251,164,7,2947,393,6,46,2000,65,6
913,113,10,29127,219,7,41,2021,31,3
444,235,4,29518,460,6,25,2015,27,6
2391,67,5,1382,632,1,46,2021,66,5
2455,31,3,11694,89,7,40,2000,102,6
752,55,9,6999,112,1,29,2009,31,5
740,345,9,6691,102,2,45,2010,68,3
559,334,1,16785,566,8,7,2003,113,2
2605,317,10,27503,619,3,29,2000,177,2
2957,316,5,22793,652,4,15,2021,93,7
1502,81,7,8471,368,5,19,2000,102,4
2088,148,4,10496,688,10,12,2012,132,3
1234,89,9,11762,161,6,18,2004,48,5
1028,50,1,22315,264,9,11,2004,55,2
617,433,4,134,190,10,30,2007,127,5
995,354,2,26958,597,2,10,2010,44,3
1988,406,6,25469,528,6,31,2003,54,1
2384,154,3,23869,255,5,8,2017,134,4
814,293,3,24424,121,8,2,2003,42,2
852,149,6,10674,502,9,12,2015,90,4
123,201,9,1039,635,6,41,2001,14,6
739,409,4,8950,611,2,50,2015,182,5
209,291,9,29134,107,9,25,2002,145,2
1863,266,8,15719,618,9,27,2020,73,3
2959,95,1,21317,247,7,43,2003,169,2
409,77,3,1395,492,8,36,2007,156,4
1033,305,9,26722,388,8,19,2013,196,3
2964,254,6,11605,239,10,42,2008,184,6
1453,111,2,6351,517,8,11,2014,98,6
2941,415,8,28678,91,9,25,2015,158,1
2732,317,9,10020,698,5,34,2018,179,2
298,422,7,6917,146,10,8,2016,19,6
1899,245,2,18588,393,6,12,2013,152,3
1923,396,4,29810,331,4,50,2000,134,3
920,436,8,189,108,4,43,2010,25,6
713,227,5,15283,369,9,38,2012,130,1
144,81,3,6360,426,9,21,2003,116,1
2661,211,7,2323,240,5,18,2012,100,3
2668,91,10,11282,130,7,16,2005,13,1
1431,107,9,8836,313,10,43,2004,197,2
2329,337,2,10073,537,4,34,2016,159,2
320,143,2,18785,593,8,3,2019,66,5
2156,317,8,15030,603,6,40,2002,129,6
41,422,1,6837,317,3,40,2014,101,4
2348,236,4,13471,689,9,10,2004,35,3
1826,2,1,18394,347,9,17,2020,139,1
2514,209,1,15710,332,8,16,2003,19,7
2570,432,6,13676,248,4,20,2011,24,6
490,434,2,8830,554,4,27,2013,168,5
1931,141,2,26453,661,1,27,2001,5,1
499,221,5,11713,262,9,8,2000,7,6
471,308,6,24670,542,7,15,2000,5,6
2490,329,4,19958,414,7,10,2007,5,7
2970,4,8,13095,90,7,47,2001,93,4
616,280,9,12704,648,7,28,2012,128,3
370,236,1,5682,311,7,15,2016,37,7
2784,162,1,25073,108,9,22,2020,122,5
1020,411,2,6450,153,10,17,2009,100,1
911,424,1,16795,655,1,3,2005,65,7
1885,22,4,15827,695,8,38,2019,188,6
2548,165,6,27237,143,1,34,2011,107,7
1443,351,1,2333,125,4,9,2021,152,3
1505,323,6,11390,556,5,32,2009,168,2
1412,368,1,27558,598,8,3,2000,143,5
732,144,7,20423,360,1,23,2011,1,2
2151,142,3,2867,266,1,11,2010,193,1
2340,441,2,16818,201,1,25,2015,169,4
460,193,3,6885,634,1,27,2009,181,5
1128,147,6,29469,445,10,17,2009,137,4
2181,67,8,9735,264,9,7,2020,6,5
399,283,6,14943,456,1,24,2000,155,6
407,9,2,4718,182,2,8,2001,44,1
1243,319,6,4840,637,10,13,2012,45,1
2180,261,9,19572,597,3,48,2017,110,4
2751,93,8,21561,559,1,25,2016,198,6
1610,21,7,4964,497,4,18,2015,27,1
1753,255,9,23097,90,1,1,2002,126,3
2784,33,5,18266,125,4,10,2011,107,2
1627,157,9,23074,326,9,45,2010,134,7
448,410,6,785,399,1,47,2011,138,7
2992,410,7,1204,438,10,5,2016,183,1
2426,274,8,3244,658,2,13,2001,39,3
1059,40,4,26829,86,9,2,2020,110,2
587,322,4,7492,627,8,31,2018,36,2
1843,274,9,3103,106,8,14,2008,181,7
1699,123,7,11411,676,4,6,2004,77,5
412,212,5,17477,451,6,31,2003,113,1
1474,106,4,14502,387,7,39,2016,35,1
2974,40,2,25649,682,1,41,2014,42,4
682,102,9,29457,449,3,16,2017,68,5
2993,136,3,11360,668,7,34,2003,128,3
1399,162,7,29322,290,2,8,2003,101,2
1398,202,10,15259,506,9,41,2013,163,3
1461,436,10,1585,355,2,50,2000,128,2
2375,44,3,2302,679,5,10,2019,79,1
79,147,5,5312,213,6,32,2003,181,1
1333,409,7,16439,287,4,42,2005,187,4
158,7,8,8247,373,2,33,2003,68,6
862,74,10,20171,425,6,13,2008,5,3
184,272,7,773,231,1,4,2001,75,3
2984,324,6,14672,247,7,46,2009,129,4
1637,332,1,14602,497,9,19,2012,45,1
1851,34,1,4810,556,3,28,2010,147,3
1689,296,3,15543,555,2,37,2008,179,6
1301,30,2,3385,378,3,10,2013,19,6
1217,434,9,14956,205,9,46,2003,83,3
686,385,7,17990,645,1,30,2016,143,3
82,103,8,21701,338,8,36,2006,29,2
2462,403,5,21818,171,1,1,2012,149,6
507,264,5,2318,637,1,31,2005,61,2
366,99,1,22513,600,8,39,2007,152,5
2640,345,3,15174,661,10,8,2007,200,3
1848,11,8,21758,625,1,20,2008,33,4
2089,134,6,7273,542,1,3,2018,32,1
2261,306,9,22635,249,7,4,2010,75,3
2168,247,4,25554,352,4,33,2009,51,5
1004,415,10,2831,699,4,30,2013,77,6
1486,154,5,25828,103,8,19,2008,47,3
2225,308,3,14970,600,9,49,2016,99,7
739,32,7,28066,175,8,24,2007,121,1
1772,67,4,26623,398,2,6,2000,121,2
2907,426,3,24253,411,6,27,2000,133,1
532,21,9,1490,117,8,44,2018,119,1
2152,134,5,6659,595,8,43,2006,186,3
1368,16,5,14363,294,10,17,2017,57,4
1350,359,3,13804,184,5,2,2005,124,4
2301,78,1,15891,676,8,50,2011,1,5
2451,411,6,12707,503,3,5,2004,167,3
1204,423,2,8551,247,2,2,2001,61,6
1727,256,7,24890,155,9,23,2003,191,4
346,106,7,22951,700,8,47,2015,84,7
129,258,5,21445,393,2,47,2012,41,5
502,232,10,10250,652,2,38,2005,72,6
2420,254,9,6986,164,7,50,2014,82,7
1342,355,8,1477,216,7,42,2014,110,4
2695,189,3,24999,577,2,15,2003,150,7
2000,153,3,15402,294,2,37,2020,56,3
745,171,7,12510,220,7,13,2009,161,7
1556,373,9,5507,432,9,23,2015,133,5
2818,290,8,26023,478,6,28,2019,197,3
2567,159,8,20257,235,8,7,2017,156,7
1739,106,3,1781,105,3,28,2021,1,3
1741,36,2,12505,414,3,42,2017,127,3
736,409,3,22146,527,4,6,2000,27,4
1875,278,4,4651,468,9,23,2018,161,2
464,381,10,15079,697,4,41,2009,48,7
260,173,7,25357,89,10,35,2018,158,7
2573,391,3,5081,77,6,6,2011,90,3
2825,175,4,26281,375,1,39,2010,25,7
78,31,8,2958,407,2,4,2015,47,2
90,206,2,9650,180,10,30,2019,115,2
1928,13,8,2481,75,5,25,2003,5,7
2198,298,2,5000,189,1,6,2019,82,2
787,434,7,29850,515,1,11,2009,151,5
231,338,9,6232,248,1,31,2005,61,4
1156,213,5,4682,243,10,7,2020,107,2
407,326,7,16213,168,4,27,2017,100,3
2768,167,9,26731,202,4,42,2009,9,1
1004,92,6,1152,565,2,42,2020,6,3
1226,310,1,14711,293,3,44,2020,26,5
488,166,7,1222,393,7,25,2009,166,6
989,64,4,29775,81,6,35,2018,181,6
2515,173,10,1208,555,5,9,2009,187,4
1299,45,6,8813,516,4,28,2009,126,4
148,56,8,9206,199,8,14,2011,130,3
1398,139,2,27710,313,10,42,2008,22,4
2451,432,3,26175,498,10,29,2001,48,6
2003,60,6,5478,655,7,9,2013,131,4
2603,201,6,4928,299,8,10,2021,97,5
25,126,9,29484,303,3,47,2014,123,6
2207,443,10,13351,327,8,8,2015,127,5
1991,80,7,16305,630,8,7,2020,97,4
905,425,3,9231,580,4,16,2011,196,3
575,352,5,8778,392,10,16,2004,122,5
2196,16,2,5054,626,4,14,2001,10,4
536,199,9,23422,671,10,34,2015,159,2
2060,274,4,21310,473,8,27,2007,115,6
978,331,3,23078,108,9,28,2020,83,1
2183,85,10,4159,653,4,17,2015,197,1
779,26,10,11876,561,3,12,2008,191,1
296,366,1,5989,697,4,40,2012,106,1
2327,278,8,17452,144,9,18,2011,127,1
2825,80,1,2425,298,1,2,2016,174,2
2291,161,1,29188,612,3,25,2006,46,5
2978,278,4,24217,283,5,19,2002,143,3
2234,13,6,25364,164,6,32,2018,157,5
2126,383,10,9890,605,10,38,2002,42,2
2035,370,5,2684,516,8,44,2015,153,5
418,371,9,27845,360,7,27,2020,115,6
2748,57,6,26821,324,1,23,2015,66,2
74,73,7,22907,519,2,2,2015,53,3
1709,407,2,22081,551,4,9,2013,10,4
1828,133,6,11170,603,4,47,2018,11,6
773,343,2,7683,446,9,10,2019,48,4
754,278,10,11816,511,6,20,2001,54,4
790,12,1,7572,229,8,20,2001,95,5
1827,400,2,4863,304,10,35,2020,87,3
2951,139,4,26278,680,5,7,2016,195,1
503,377,5,2915,389,1,42,2003,200,4
768,78,3,28494,674,2,35,2005,16,3
1793,338,10,7340,250,3,13,2019,167,1
1143,8,7,9506,78,10,49,2018,125,7
1462,242,9,24507,343,1,48,2015,120,1
2413,54,4,27531,643,4,36,2020,24,5
655,100,1,24743,315,1,27,2016,8,5
334,161,1,18641,432,3,27,2010,142,3
2576,264,3,23065,159,8,33,2021,62,2
288,351,8,8878,251,5,15,2008,21,3
2023,57,2,26199,677,8,36,2010,159,1
2758,107,9,304,101,8,4,2012,40,4
1838,188,3,4819,668,1,10,2019,2,6
2509,62,9,831,405,9,36,2013,168,2
251,219,1,25787,213,6,2,2013,47,6
1629,166,5,1792,647,2,21,2005,120,6
636,22,5,10616,508,10,2,2013,186,4
2584,99,2,8853,88,4,33,2006,125,5
2333,87,1,160,383,3,49,2004,200,4
1367,411,6,19896,571,5,12,2009,33,5
1135,38,2,4697,252,3,17,2012,106,4
903,203,7,3961,160,8,11,2013,81,6
1496,64,10,3535,510,2,23,2004,145,4
1000,83,5,8169,327,8,13,2015,4,4
993,383,6,21310,460,3,2,2013,122,6
992,16,9,564,494,10,34,2016,74,7
268,343,8,6825,627,1,8,2017,107,1
1509,172,5,9987,117,2,38,2002,135,4
597,300,2,25007,274,9,28,2001,95,3
1615,386,7,12100,320,8,22,2013,120,7
1438,414,4,17032,205,4,20,2019,67,3
2642,342,9,5228,268,4,26,2005,42,6
1459,57,3,21416,559,10,10,2007,163,3
2427,446,3,13408,129,8,45,2017,130,4
574,16,2,26036,377,6,4,2021,177,7
2773,132,5,12987,324,2,50,2011,159,3
307,278,3,12180,649,6,17,2017,34,3
2662,174,5,8542,603,5,10,2010,36,2
2360,241,1,4977,103,8,2,2014,30,5
2970,127,6,27356,115,7,2,2010,31,5
1726,387,6,2345,322,1,21,2004,189,7
458,302,1,25302,381,2,28,2005,141,6
303,370,7,23514,146,9,12,2004,109,7
2365,21,6,8454,500,4,27,2012,52,2
2679,171,1,3559,563,5,32,2018,48,6
1803,247,5,4890,486,5,29,2002,143,5
1973,151,5,16450,450,1,23,2011,38,7
2551,44,6,12214,469,5,20,2018,22,7
2558,217,8,18153,453,8,3,2018,184,1
836,62,10,8975,321,10,28,2000,40,1
2861,261,7,27811,227,6,16,2012,125,1
2784,143,7,14276,654,4,48,2006,118,2
844,343,8,5239,554,8,32,2004,200,7
2612,3,10,25586,228,4,47,2001,200,7
698,237,8,7378,226,9,7,2019,149,6
915,147,6,15591,257,5,7,2006,111,2
39,296,3,3811,257,10,42,2005,118,2
1305,352,4,22132,593,5,47,2004,184,1
1422,98,4,1256,658,4,48,2004,181,6
2233,390,7,9599,128,8,11,2016,81,1
1489,181,2,5330,179,1,40,2020,92,1
2141,53,8,77,201,6,36,2009,185,1
225,93,10,3008,683,9,47,2013,155,6
84,155,10,29971,95,7,19,2013,153,6
1602,279,4,13242,236,2,29,2011,142,1
748,257,6,16482,76,2,20,2008,48,1
2715,217,3,27364,287,7,25,2018,105,1
771,312,2,19722,103,9,49,2016,24,1
2700,30,8,6014,492,6,33,2009,105,6
2161,117,3,25311,377,6,29,2012,59,6
52,231,4,11752,424,2,37,2014,162,4
1746,247,3,2158,130,9,29,2009,40,7
1129,379,6,13937,494,3,22,2015,105,6
1903,261,9,23955,691,2,4,2009,135,2
2680,14,1,6067,318,2,43,2010,18,1
1826,161,10,23386,256,1,42,2012,83,2
358,307,4,14865,537,9,27,2017,176,6
726,222,10,25401,269,4,21,2006,25,3
1254,125,7,5624,320,7,12,2008,39,3
2400,296,6,15358,427,1,48,2000,133,5
2847,201,7,18822,153,2,23,2020,42,3
2266,366,4,8194,697,6,29,2013,153,4
2226,146,4,5426,79,7,7,2015,111,1
1660,401,3,18002,617,9,9,2013,43,5
2749,172,6,19739,642,4,37,2010,133,1
2319,334,9,18642,645,5,48,2012,100,3
1862,222,10,29094,212,7,42,2014,176,3
1262,52,2,18307,547,9,37,2015,41,2
1872,119,3,9580,623,10,15,2000,74,6
1821,165,3,12674,163,3,21,2000,123,5
2285,385,3,22244,158,3,29,2019,11,1
1323,73,8,10463,88,1,37,2005,26,1
1516,310,9,12635,680,10,13,2008,131,4
2567,330,5,16447,129,4,20,2001,82,4
2246,428,8,3038,696,4,35,2018,125,4
678,446,2,26847,513,6,7,2015,125,4
1754,380,7,19515,523,6,11,2004,48,7
303,281,3,28211,387,1,11,2021,44,5
516,294,1,21331,287,2,38,2005,69,6
545,126,7,20099,199,4,38,2001,105,2
2909,277,3,17067,624,8,39,2003,169,1
630,67,9,21743,288,5,14,2000,13,6
2207,342,5,16664,337,4,3,2008,123,5
2293,69,8,14980,85,9,38,2006,181,1
2033,157,9,6670,526,4,36,2017,68,3
2754,88,3,29898,695,7,2,2004,33,6
1251,76,6,23058,525,1,34,2001,121,1
1913,417,10,7981,150,4,1,2015,167,5
2605,21,8,7193,114,7,29,2011,109,2
762,411,4,9149,376,7,1,2004,138,7
2265,288,4,16605,575,1,15,2000,120,1
798,379,10,24597,580,3,18,2019,31,2
2055,433,4,6849,229,7,25,2001,78,7
2494,317,3,28850,245,10,14,2021,2,3
2228,261,10,6512,432,2,9,2002,197,1
1539,386,4,18887,335,2,20,2004,77,3
2762,398,9,7458,223,1,1,2011,31,1
2924,165,1,13424,539,9,41,2018,187,6
797,258,9,20907,151,9,48,2009,9,2
2275,307,10,10855,377,2,15,2018,106,1
1431,268,4,20872,105,7,8,2020,160,5
2952,101,2,14096,367,1,21,2006,138,3
76,6,8,12879,362,2,33,2011,101,4
1401,437,4,920,383,1,30,2018,73,6
42,346,10,5535,132,5,13,2000,31,5
1051,54,8,22408,383,3,18,2003,18,5
2414,282,4,7863,173,5,35,2016,3,6
1726,189,7,4228,309,9,6,2008,196,7
1943,379,1,12636,553,3,21,2019,125,1
1567,208,6,25210,545,5,36,2011,121,5
981,335,5,7699,218,8,37,2009,22,5
2857,139,5,23466,200,10,29,2010,16,4
1484,403,7,9003,157,2,4,2013,161,2
1430,191,9,23358,619,1,19,2007,62,2
1388,60,6,21773,197,10,8,2020,189,5
1129,172,4,11607,276,7,23,2015,104,3
2971,378,8,8028,466,10,6,2000,180,5
1354,259,10,9802,516,3,38,2016,5,6
2657,76,3,11979,670,4,10,2019,41,4
2705,47,6,6933,506,3,37,2014,55,7
1615,145,10,11768,206,7,22,2009,133,1
383,207,6,4231,118,5,12,2006,155,3
983,306,9,19011,676,7,9,2004,21,7
2943,21,6,23214,685,6,31,2012,53,5
1349,336,1,24524,105,3,41,2007,91,7
2098,74,6,24442,390,8,38,2010,7,5
2490,381,4,27761,319,9,38,2009,99,5
1711,384,8,14000,498,2,38,2020,112,6
1501,153,2,16452,604,2,44,2019,27,6
852,91,9,7017,302,2,19,2019,30,5
818,17,8,12088,399,5,8,2018,12,2
2736,236,10,5149,360,1,31,2021,171,6
2234,372,4,6477,266,8,35,2007,172,6
736,175,5,10919,377,3,48,2007,71,1
212,164,3,23001,202,3,9,2002,148,6
390,120,6,28133,132,7,18,2007,73,4
2911,197,5,12012,602,5,33,2007,40,5
2087,86,1,7822,321,7,25,2001,111,4
474,205,3,23599,370,10,28,2000,114,7
429,194,8,19918,615,7,4,2000,102,7
1898,93,7,9160,586,2,1,2006,9,4
2828,409,10,4172,175,6,26,2015,141,5
2158,222,7,10379,96,5,48,2005,2,7
2733,405,9,19548,192,3,20,2009,29,3
155,18,5,26024,309,5,27,2020,13,4
702,142,10,23553,476,4,23,2018,198,6
2296,42,7,26229,273,4,10,2016,87,2
1412,168,9,6693,240,10,29,2015,180,5
895,179,9,21227,266,3,35,2006,97,1
1051,150,3,14287,342,6,5,2007,153,3
2909,139,5,25883,504,7,32,2007,78,5
1762,251,8,24348,600,10,22,2002,30,2
2428,53,2,2733,160,6,47,2015,69,2
1335,430,10,29377,557,3,44,2018,200,5
1495,230,6,28177,610,4,4,2013,50,1
1770,241,4,22732,627,9,7,2005,68,6
2742,199,8,24966,430,3,20,2013,179,3
1624,66,9,12989,273,9,3,2003,9,2
616,67,7,20621,602,10,15,2006,168,4
2880,351,6,9078,280,4,34,2003,146,1
1388,412,8,13080,435,8,11,2008,172,5
1741,265,1,3813,617,10,7,2019,180,4
2848,8,7,11950,642,7,41,2020,60,4
578,377,6,22210,511,9,10,2001,93,2
116,116,2,440,688,2,3,2011,54,5
1530,173,1,11780,147,7,1,2009,60,5
236,13,5,6661,657,10,1,2016,194,7
2041,201,6,22450,364,1,4,2015,5,6
464,287,5,5752,157,5,41,2013,84,2
1597,132,5,13572,582,2,21,2008,95,5
544,287,8,18780,316,6,15,2005,199,7
2453,407,1,25830,120,4,8,2004,53,2
2084,119,3,28787,85,10,4,2018,100,5
435,253,1,509,383,3,50,2020,72,4
1982,384,8,20285,489,10,7,2000,58,2
1510,360,4,7124,107,3,19,2013,34,4
288,173,1,19443,648,7,6,2011,2,2
2977,449,6,28645,692,9,12,2021,47,3
2726,138,7,862,494,8,31,2015,81,5
924,87,1,28617,396,9,22,2010,47,2
2671,61,7,24207,473,4,31,2010,143,1
926,314,9,21621,89,4,50,2017,13,5
1118,382,1,27797,476,1,30,2015,128,5
934,109,1,14630,405,1,33,2018,62,3
738,412,5,12069,542,6,21,2021,150,1
314,329,3,11151,476,3,22,2009,169,5
1878,16,6,6768,86,4,36,2004,74,4
2260,352,9,2216,463,6,18,2007,26,2
1245,261,1,18502,154,10,3,2014,143,5
699,38,9,29960,668,6,1,2006,48,5
1528,301,9,1888,523,2,25,2020,138,2
2803,315,7,9560,236,4,42,2006,61,7
290,70,9,24144,538,6,20,2010,52,7
1476,290,9,3161,151,7,7,2019,7,4
573,283,3,21647,524,8,3,2019,142,4
521,283,8,1476,326,6,20,2015,5,2
2206,236,6,21737,320,4,9,2018,130,5
2564,317,5,13135,321,8,46,2008,69,1
2941,44,6,23205,164,9,49,2009,114,2
1736,262,2,3779,549,3,16,2012,68,4
141,315,4,2003,157,6,41,2009,120,4
280,386,4,19070,669,7,33,2011,172,2
818,60,7,19602,426,2,50,2005,99,7
2520,436,6,21953,240,6,39,2016,94,2
119,163,2,5037,229,8,7,2016,120,6
2803,52,7,27859,101,10,20,2012,123,2
1252,436,8,9377,348,2,12,2002,27,6
1111,25,5,11498,113,8,21,2012,101,3
945,191,5,1962,146,2,44,2018,50,5
1926,155,10,13796,107,2,11,2002,157,7
1030,450,7,17790,382,7,10,2009,164,4
1163,299,9,10713,190,2,7,2016,76,6
1445,79,1,27951,489,9,15,2019,104,7
2044,241,3,17616,232,5,7,2011,74,2
1700,81,3,18480,509,10,22,2008,111,7
2611,323,2,6335,574,7,44,2012,170,4
659,264,6,15741,305,3,45,2016,80,6
166,266,6,27767,448,10,43,2021,49,6
1010,106,8,6592,206,1,35,2014,135,5
1200,91,7,9577,547,9,13,2004,10,3
2808,126,2,1731,406,10,11,2000,177,5
2684,117,9,26854,80,7,37,2014,32,2
2823,220,3,29905,307,7,16,2009,116,6
1287,340,3,17988,696,7,47,2008,155,6
691,20,3,19873,698,2,26,2021,137,2
2399,51,10,21009,75,2,11,2014,176,7
2085,295,9,10272,316,2,4,2000,95,7
936,262,10,2717,224,2,43,2013,116,4
2231,257,5,24562,651,4,12,2013,45,6
1139,268,4,28106,625,5,17,2009,193,7
2136,184,7,5713,197,2,22,2006,199,7
2465,366,9,15932,132,3,44,2015,163,6
488,118,1,2663,599,7,48,2002,98,3
2572,306,2,5450,302,3,37,2000,61,3
47,108,10,12997,677,1,19,2011,94,2
194,66,3,2456,623,9,37,2003,129,1
1854,188,10,12325,215,5,8,2014,155,2
1108,10,7,21609,101,5,8,2015,92,3
500,366,4,20382,570,8,19,2003,2,2
1569,143,9,10938,144,3,45,2018,98,5
1052,321,8,3907,661,8,41,2000,198,4
1984,306,4,13302,362,2,17,2002,95,4
2830,109,8,15841,206,5,32,2001,121,4
72,227,8,3067,345,5,41,2021,141,5
2495,14,4,18276,218,3,44,2019,168,4
2356,95,4,16418,232,8,7,2017,144,4
1944,359,9,9059,288,1,8,2019,74,3
2474,229,5,3780,561,9,44,2017,181,5
1836,450,6,20203,114,1,15,2020,48,7
355,238,3,17119,151,4,22,2003,61,3
333,245,6,14966,171,8,37,2002,40,2
2131,177,10,23395,307,3,17,2012,5,4
1083,403,5,3153,557,3,12,2007,44,1
2640,80,7,19064,432,8,30,2001,175,1
440,343,5,4088,312,2,19,2002,190,4
840,424,10,104,128,9,2,2004,194,5
127,292,1,22625,652,4,17,2017,16,3
574,295,4,20815,379,10,4,2007,116,3
1937,175,9,10045,424,10,49,2006,69,5
2020,105,10,7002,401,2,36,2014,96,6
619,91,4,6655,491,7,33,2000,126,4
1461,345,1,26825,180,7,27,2012,72,6
1328,272,9,8308,535,1,39,2007,179,2
1166,356,10,27090,463,1,11,2004,148,7
836,346,6,215,195,9,24,2006,95,1
2021,132,9,556,376,1,28,2017,186,5
29,57,9,15822,370,6,2,2013,60,7
2214,95,1,1231,691,8,22,2006,123,7
2511,306,9,28143,379,5,2,2007,86,2
1649,405,5,2365,473,5,39,2009,165,7
946,347,4,16725,317,10,33,2020,112,7
699,143,9,15767,428,1,43,2004,36,6
1290,433,2,23980,186,8,42,2014,138,1
2722,314,5,23747,671,2,22,2007,142,6
690,273,8,2342,536,2,19,2004,175,1
2717,126,4,5123,253,8,29,2013,101,7
842,420,1,21374,338,1,28,2010,71,1
2067,414,8,15582,640,7,21,2000,158,1
2966,207,8,5544,545,7,19,2012,87,5
84,308,10,101,200,7,31,2017,139,1
280,318,5,21063,125,1,37,2003,176,1
2223,49,4,2741,167,1,22,2011,81,3
855,166,6,24961,545,4,32,2006,51,1
1931,193,2,15705,271,9,16,2006,20,3
2251,313,3,14666,180,7,40,2013,109,2
2269,124,5,11085,618,9,11,2004,84,7
1886,163,1,2687,351,5,32,2007,129,4
252,219,1,27182,455,7,3,2014,27,4
1527,397,2,11129,627,7,47,2021,21,4
1599,99,10,9300,697,10,37,2001,181,7
2838,67,10,12979,545,5,37,2013,184,4
2869,249,6,22052,120,5,6,2010,90,5
2736,223,6,2611,368,9,44,2015,11,5
2033,402,2,3284,474,6,41,2002,107,1
2149,189,4,27584,664,4,4,2014,197,3
2969,43,4,21234,475,2,25,2012,123,6
1225,29,3,22478,257,5,26,2000,99,2
206,440,2,24219,173,1,49,2017,70,4
211,282,7,27811,297,6,36,2016,27,2
65,260,3,21807,525,6,20,2005,6,5
2677,59,3,5709,125,1,29,2013,139,4
940,298,1,14379,623,10,6,2013,169,5
1223,206,7,11246,530,9,21,2009,186,6
890,279,10,5976,79,8,46,2014,157,6
189,176,8,23446,484,10,31,2010,32,7
1396,304,9,15636,598,2,26,2018,143,6
29,349,4,19324,155,8,29,2009,24,1
1374,60,7,2818,547,7,31,2001,40,3
256,444,1,14951,88,7,38,2009,114,6
2587,55,6,23402,463,1,37,2004,97,1
185,46,8,16169,587,3,18,2019,32,4
297,369,2,23841,675,8,31,2000,77,1
740,314,2,23824,471,10,5,2016,150,3
289,331,8,13299,472,5,22,2005,180,5
2404,318,9,3629,167,7,27,2021,189,7
866,293,7,466,681,9,29,2019,1,1
2907,348,5,1077,143,6,45,2021,115,6
2252,266,9,19751,224,7,6,2015,104,2
1585,86,9,20381,537,6,11,2021,4,7
1652,267,1,9780,662,1,43,2018,121,5
2355,14,7,2303,698,8,6,2003,47,7
2655,325,2,18844,144,2,32,2015,174,7
283,377,5,3295,662,7,35,2000,53,4
112,40,2,6807,169,6,23,2015,11,3
2454,421,9,13921,640,8,8,2014,137,1
988,316,9,287,691,2,50,2006,53,6
635,100,1,26673,610,3,6,2006,149,1
1157,221,7,7182,472,2,16,2011,81,7
2459,80,2,3425,379,7,20,2008,115,7
1121,159,4,2632,677,9,27,2008,30,2
273,213,1,3705,639,3,31,2000,34,5
2773,446,1,27761,301,9,11,2008,111,7
2076,70,5,9081,317,8,38,2010,59,4
2306,7,9,6424,488,6,27,2004,51,1
2432,124,4,2984,127,4,12,2006,87,2
2219,221,2,20576,635,2,9,2021,61,2
2346,373,7,1062,242,2,9,2020,74,3
1640,252,9,22197,100,6,18,2010,168,1
1403,391,8,14060,90,6,47,2018,115,7
272,37,3,25787,472,3,14,2003,79,1
1347,344,9,11104,96,9,36,2007,177,3
80,39,7,11284,685,2,27,2011,85,7
2436,294,10,5676,87,9,44,2003,62,4
1945,215,1,8500,695,4,23,2018,20,4
1124,450,10,1396,521,9,17,2017,96,1
2649,360,5,21338,461,2,27,2001,93,1
702,395,9,934,596,2,38,2020,28,5
1564,76,4,248,572,4,6,2016,147,4
2582,33,9,10884,310,7,21,2000,1,4
2516,441,10,28507,182,3,17,2016,149,1
1508,400,7,16004,210,10,31,2015,106,4
